quarter,qrgdp
1/1/1995,113021.8
4/1/1995,113694.9
7/1/1995,110574.9
10/1/1995,117068.2
1/1/1996,115704.6
4/1/1996,118074.9
7/1/1996,114828
10/1/1996,121272.9
1/1/1997,120040.9
4/1/1997,123011.8
7/1/1997,119736.1
10/1/1997,127040.3
1/1/1998,126970.2
4/1/1998,128638
7/1/1998,124664.3
10/1/1998,132351.7
1/1/1999,132523.5
4/1/1999,134642
7/1/1999,130890.4
10/1/1999,140396.6
1/1/2000,139563
4/1/2000,141260.3
7/1/2000,135712.1
10/1/2000,144681.9
1/1/2001,143439.1
4/1/2001,145401.5
7/1/2001,138731.9
10/1/2001,146709.3
1/1/2002,143600.2
4/1/2002,145910.5
7/1/2002,139627.3
10/1/2002,146557.7
1/1/2003,144432.4
4/1/2003,145373.3
7/1/2003,139243.7
10/1/2003,147211.6
1/1/2004,146405.4
4/1/2004,148348.2
7/1/2004,142454.1
10/1/2004,150655.6
1/1/2005,147675.8
4/1/2005,151660.4
7/1/2005,146166.1
10/1/2005,154287.9
1/1/2006,153269.6
4/1/2006,157252
7/1/2006,151045.4
10/1/2006,159449.8
1/1/2007,158623
4/1/2007,162513.7
7/1/2007,157594.3
10/1/2007,166394.6
1/1/2008,164030.2
4/1/2008,167833.3
7/1/2008,161273.1
10/1/2008,165708.9
1/1/2009,157805
4/1/2009,160052
7/1/2009,155090.7
10/1/2009,161717
1/1/2010,157582.3
4/1/2010,163115.4
7/1/2010,157679.8
10/1/2010,164644.6
1/1/2011,162276.3
4/1/2011,166897.7
7/1/2011,160196.6
10/1/2011,165077.1
1/1/2012,160522.2
4/1/2012,166067.4
7/1/2012,158368.9
10/1/2012,163092.7
1/1/2013,157897.4
4/1/2013,165329.1
7/1/2013,159027.3
10/1/2013,165589.4
1/1/2014,160182.2
4/1/2014,168032
7/1/2014,161181.8
10/1/2014,168893.3
1/1/2015,163570.9
4/1/2015,171662.6
7/1/2015,165418.5
10/1/2015,171599.8
1/1/2016,167386.5
4/1/2016,176181.9
7/1/2016,169353.9
10/1/2016,175630.4
1/1/2017,172571.9
4/1/2017,181344
7/1/2017,173920.5
10/1/2017,179877.9
1/1/2018,176865.8
4/1/2018,186064.7
7/1/2018,177568
10/1/2018,183211.5
1/1/2019,180696.9
4/1/2019,190328.8
7/1/2019,181831.6
10/1/2019,187498.2
1/1/2020,180297.1
4/1/2020,173561.3
7/1/2020,175822.2
10/1/2020,181974.2
1/1/2021,178229.7
4/1/2021,194104.6
7/1/2021,188126.4
10/1/2021,195870.8
1/1/2022,190544.9
4/1/2022,205171.9
7/1/2022,195119.2
10/1/2022,203366.7
1/1/2023,194119.2
4/1/2023,204476.2
7/1/2023,193771.4
10/1/2023,202412
1/1/2024,193156.9
4/1/2024,206102.1
7/1/2024,197044.7
10/1/2024,206261.1
1/1/2025,196938.3
